TEAM,N,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
DET,62267,,0.546276965901183,0.6171003717472119,0.6702195693881902,0.7224916641406487,0.7570952545099391,0.7739719837324899,0.7941737599060757,0.8051275805371171,0.8211158623498269,0.8377520862308763,0.8518266136664774,0.8649355877616747,0.8779136300668554,0.8875385749788349,0.8899715793747462,0.894219814163101,0.8994657253255737,0.9075593952483801,0.9183566890068762,0.9299150676313306,0.9390832083654197,0.9444389695882689,0.9447042003168592,0.9432823889914543
ATL,64144,,0.5382462686567164,0.5994575045207957,0.6463920376002211,0.6795302013422819,0.7283545342634387,0.7506634115274387,0.7710641154749917,0.7794137695978187,0.7948602850409606,0.8156487475372924,0.8327516347735388,0.8516140289652766,0.8685011529592621,0.883960733632139,0.8868561854834351,0.894876347178115,0.9013179494395197,0.9105710922055132,0.920849134552234,0.9321509925154572,0.9428717264125015,0.948842455409203,0.9501699179512213,0.9489191590168788
CLE,61685,,0.6177024482109228,0.682374541003672,0.724606719751408,0.7667231160033869,0.78921143847487,0.8163230240549828,0.8297511312217195,0.8489331604385241,0.8638982116916295,0.871601404969429,0.8848989208086335,0.8967424293518581,0.906399585353212,0.9158782565269262,0.9183370452858204,0.9240652408062779,0.9283543937493971,0.9373769741359579,0.9484671437011751,0.9600657146467838,0.9678043810494141,0.9708059618552405,0.9690837986652917,0.9658707649854361
CHI,62130,,0.6,0.6160855784469097,0.652120315581854,0.6991438356164383,0.742696053305997,0.765993433489205,0.7903637523931079,0.8134853420195439,0.8252818473939328,0.8384981295894334,0.8535840374469436,0.8668937235003823,0.8856012120087808,0.8973622574169083,0.8978790687530669,0.9047113000354233,0.9109148895658796,0.9178996752075063,0.9300430107526881,0.9407451898183625,0.9509105463277967,0.9556344623068519,0.9557310590125062,0.9546174440966854
NOP,64839,,0.5584137191854234,0.6096385542168675,0.6579947383805904,0.6987782896054476,0.7349131586694142,0.7651515151515151,0.778692927484333,0.7915977267822459,0.8081010864430799,0.8234654004055992,0.8405730129390019,0.8622391580475413,0.8775989588293178,0.8863732127306947,0.8881890626283648,0.8992626519364824,0.909310449930834,0.9189828111881931,0.931470378600478,0.9457098783981409,0.9558426011739265,0.9602703873166507,0.9612470431697221,0.9599664564115652
GSW,63156,,0.6511111111111111,0.6633139227104288,0.6876828079298017,0.7304576308298665,0.7556791104050834,0.7911057692307693,0.814832309872461,0.8279034690799396,0.8541046626984127,0.8727048295016201,0.8939776886874673,0.9104197196858678,0.9283072452281884,0.9454572055596197,0.9459767170466513,0.948687756757464,0.9555237077341625,0.9626140578424011,0.9750418832424074,0.9899655963302753,0.9993694953992868,1.0019332363524998,1.0019163926726162,0.9994064511342348
WAS,64641,,0.5108303249097473,0.5890119250425895,0.6630065359477124,0.7018766756032172,0.7370449109752857,0.7545993458708095,0.7806788511749347,0.7979333333333334,0.8150138504155124,0.8272342427093132,0.8386037460471905,0.8559346025904169,0.8735395189003436,0.8932074100980748,0.8975365162415522,0.9015578054384326,0.9064984078311121,0.9144716316798146,0.9282005637145824,0.9424050889348081,0.954675322151173,0.9596349993401331,0.959553592875224,0.9595955915839329
ORL,63031,,0.5857988165680473,0.6005424254165053,0.6258583945062751,0.6579077024141895,0.6908647990255785,0.726765623522738,0.7500189724519997,0.7678516036974998,0.7849646716541978,0.7998849913743531,0.8190145414297164,0.8336025304529242,0.8504955534928287,0.8638573743922204,0.8661693259351687,0.876362827263962,0.8846861534878304,0.892204830746751,0.9071186440677966,0.921878504863476,0.9310780654462152,0.9340860484383731,0.9338899301414211,0.9327723235156615
BOS,63728,,0.5633303808680248,0.6104166666666667,0.6501803194229778,0.7012963949564909,0.7551020408163265,0.7780689377141705,0.7979258077383327,0.8210587626197257,0.8385902800128742,0.856955617825183,0.8745681121161536,0.8972732822356373,0.9149198520345253,0.9263668908656976,0.928963365431169,0.9333500501504514,0.933851590106007,0.940368815859975,0.95306413503906,0.9637426422498365,0.973490078504083,0.9770976233020154,0.9758070598883692,0.9739123976456171
PHI,64037,,0.640405616224649,0.6483357452966715,0.6743601462522852,0.7108702582084795,0.7516284680337756,0.7619818961410195,0.7838989617232295,0.8044603489040834,0.8164816212137544,0.8334395774519625,0.8440699322727989,0.8543153684355712,0.8726171169792846,0.8861077713411302,0.8852876521366146,0.8880747162125239,0.89266888047744,0.8999691874284708,0.9135898296551146,0.9261893727204948,0.9378248428101458,0.9415305734903152,0.9425922125412788,0.9420957907882171
BKN,64468,,0.5752644426362896,0.5934706568208317,0.6411518582328328,0.7076737783895389,0.738509076863654,0.7657576665667766,0.7872169584069375,0.8120171673819743,0.8304433713784021,0.8430580699066982,0.8520834993227632,0.8643708517218612,0.8811820360017202,0.8956812818965044,0.8919542078876109,0.8981839833283716,0.9029580860534124,0.911353032659409,0.9227764548606759,0.9344831043818309,0.9433721177859951,0.9487044191086403,0.9494550157029373,0.9491513076418737
UTA,62338,,0.6974431818181818,0.6786941580756014,0.6925196016105107,0.7408120924718435,0.7763741134751773,0.8055848261327714,0.8267941218433442,0.8477529085218213,0.8572276052995847,0.8738605671843349,0.8872368614750479,0.9006164584624416,0.9115809145593646,0.9222604552673372,0.9226448612780187,0.9274805423662441,0.933361080281169,0.9373567272086052,0.945872801082544,0.956150562669771,0.9643842139724994,0.9666601941747572,0.9674551121479243,0.9649686342680069
MIA,62197,,0.5481111903064861,0.6307640525075732,0.6830911770899136,0.7334215556535804,0.7685185185185185,0.8028526426321316,0.8251494449188728,0.8441842587664834,0.856666002391391,0.8689007470651013,0.8815358260092359,0.8964767146765104,0.910116007910972,0.9202869455820551,0.9201748575970328,0.9266212027278363,0.9318768479842305,0.9370348785080247,0.946752939659064,0.9557549697762822,0.9634362297259227,0.9656872373021173,0.9657788818918867,0.964078553285059
CHA,62198,,0.5776892430278885,0.6162878787878788,0.656235182550972,0.7066644507229516,0.736346516007533,0.7709855816709461,0.7925083505646572,0.8121517991741496,0.8330359556636929,0.8460838301551905,0.8621149695899549,0.8786091488923942,0.8951603072046812,0.9047435615232226,0.9055608172101204,0.9070453056493474,0.9089143615005684,0.9155348334346916,0.9302225288942556,0.9438439995851052,0.9538248236783411,0.9566053282065367,0.9568518625580544,0.9555585187442853
TOR,62906,,0.6550335570469799,0.6785243741765481,0.714938707666736,0.7532084378226878,0.7821002923319091,0.8130052092689061,0.8272432591719464,0.8360142436149313,0.8509423186750429,0.8626793616735953,0.8745495848347172,0.8929042103072762,0.9107109593294008,0.9229819936052056,0.9234366353071389,0.9281743785063564,0.9278930961989222,0.9334354005758421,0.9457890273338118,0.958914954789783,0.9736425724528831,0.9789733714574702,0.9797091518197046,0.9778294195918215
IND,63329,,0.5824561403508772,0.6359183673469387,0.678553363682347,0.7209547209547209,0.7456578947368421,0.7762649867913026,0.8009524578254904,0.8235564304461942,0.8332335492298482,0.8473271952727772,0.8591930361133985,0.8695192995605219,0.8886844248695285,0.9052339951652769,0.9073595610366779,0.9156339843362744,0.9198236446766819,0.9262907985533293,0.9384843353090602,0.951257253384913,0.961524094135226,0.9670201362835924,0.967956196138938,0.9669192763475613
HOU,64042,,0.6187234042553191,0.6492507087889834,0.7237611181702668,0.7561239193083573,0.7944331296673456,0.8169752756074066,0.8292557301055885,0.8465276799549232,0.8589645648469177,0.866517746339042,0.8766413121998895,0.8903897824726711,0.9054792306449005,0.9157443872711071,0.9139158213304938,0.919797241663236,0.9262726601395936,0.9288431416424257,0.9452458113575226,0.9578934595316102,0.9649713773900853,0.9665776666856029,0.9659029574345326,0.9625291450182673
DEN,63789,,0.6669285153181461,0.6974510528260066,0.7400271985494107,0.7623808779878144,0.8005413038361967,0.8180131713199147,0.8395340097707629,0.8622806473615675,0.8757350262788156,0.8966786395281806,0.9063148190827379,0.9212691348034258,0.9365475367459196,0.9441522528872743,0.9449026192075218,0.9526474924410905,0.9561038655857126,0.9574815477521808,0.9679098745412649,0.9790628524556547,0.9887549246698739,0.9927192881081706,0.9928451416812973,0.9908471927670499
MEM,63801,,0.5822878228782288,0.634965034965035,0.6883369330453564,0.7309888788698528,0.7691100650078457,0.7924694290490015,0.8154130790578524,0.8297387339996493,0.8375679248054047,0.8450283792306075,0.8603678009029843,0.8771165783743378,0.8873925083807025,0.8961409440291608,0.8867835645119079,0.8882192988902771,0.8928513460245322,0.9003369391736123,0.9104630122405535,0.9232312890345039,0.9353683627443222,0.9403499980726978,0.9419269354533409,0.9399219377369413
NYK,62217,,0.564868804664723,0.594718309859155,0.655938349954669,0.7018153117600632,0.7446833648393195,0.7749608186595373,0.7952170713760117,0.8084785623831635,0.8223478348642375,0.8386943568930529,0.8468035586921431,0.8575933609958506,0.8754706911376642,0.8844664371772806,0.8854272702919903,0.8914990493345342,0.8971108908086673,0.9035416713454758,0.9127274291367371,0.9215913800248653,0.9303622287295921,0.932927306908977,0.9326980460102031,0.9315994304698624
MIL,63518,,0.5167144221585482,0.6132572431957858,0.6620651573716179,0.7079377136346373,0.7426077161362996,0.7724907869065684,0.8020671834625323,0.8252331860579283,0.8375275426185782,0.8529742411652573,0.871464973474247,0.8921622113111475,0.9059903381642512,0.9145397519638593,0.9166829431624767,0.9205883110527264,0.9283932853717026,0.9407705708015656,0.9546460890312318,0.9679860182995785,0.9779257736848346,0.9812611369776398,0.980874880468003,0.9794961705268986
OKC,64818,,0.6226783968719453,0.6166518254674977,0.6668478260869565,0.703489456988244,0.743421052631579,0.7658186562296151,0.784339117672451,0.802460407239819,0.8210316996139899,0.8346561498644318,0.8476158439155664,0.8572467192555164,0.871295943024291,0.8808504606661942,0.8866788220343665,0.8922270030806834,0.9012069948678958,0.9089586969168121,0.9238341201126188,0.9362231481856063,0.9461750865321044,0.9506704438149197,0.9497639107490047,0.9485712202945036
SAS,62470,,0.5407725321888412,0.630745461568173,0.6736591179976162,0.72562469377756,0.7671132764920828,0.7936192369591972,0.8178812922614576,0.834900153609831,0.8509215295859499,0.8626043841336117,0.8772279461532676,0.8883332781402126,0.8988564843542239,0.9111075475732308,0.9172969719176111,0.9236382272549786,0.9296629058572118,0.9375711658053779,0.9492537313432836,0.9609775884798702,0.9690609912306631,0.9714627510756941,0.9711174872213882,0.969237987987988
DAL,62807,,0.5701624815361891,0.6301835486063903,0.6793329111251847,0.7247107683180065,0.7566297415240013,0.7750262513125656,0.7967137139245839,0.8158411268906592,0.8422559821385235,0.86164018963653,0.8704214114745775,0.8829325849862873,0.9006391964387627,0.9129861739242796,0.9156484842288226,0.9233949997609828,0.9307556800216812,0.9382199404633504,0.9477345404709497,0.956240295226764,0.9625683167538238,0.9664845454369945,0.9667251105351425,0.9646668426411252
PHX,64835,,0.5408426483233018,0.6164817749603804,0.6481755424063116,0.6997282608695652,0.7270543615676359,0.7629080118694362,0.7752817907604381,0.7939891779125106,0.8165342331555459,0.8312209061160529,0.8472566088970529,0.8654758582193692,0.882922753156722,0.8914994425863991,0.8900600764609503,0.8935378540511808,0.8944453648261662,0.899816833452466,0.9152599809382611,0.9290296468683598,0.9401750972762646,0.9436040589988306,0.9434635508143985,0.9422263545540728
POR,64083,,0.6376451077943616,0.6693302891933028,0.7113668388914983,0.7446808510638298,0.7722101186153474,0.8035896958988189,0.8257676902536716,0.843521373722716,0.8630040322580645,0.8763438557416371,0.8909185223609619,0.9036270786958229,0.9161299765807962,0.9270296689651528,0.9257670476838168,0.932818420285631,0.938898392062949,0.9463662948120871,0.9573643410852714,0.9665880188754699,0.9741163210975302,0.9767406506536941,0.9776039815143974,0.9772777695607159
SAC,63734,,0.579163248564397,0.6272,0.6332506203473945,0.6809432980752558,0.7229503983551786,0.7487522459572769,0.7665648118366034,0.7893836742748142,0.8074486675404107,0.8270190352984661,0.8457876630130411,0.8602724336469597,0.876532044285046,0.8881285582073646,0.8879119678890315,0.8966877370417193,0.9031541642055523,0.912150700830283,0.9248334716635809,0.9371381981247452,0.9482571985278199,0.9554408108624977,0.9568111919585928,0.9558842538732849
LAC,63600,,0.5630593978844589,0.633545013074337,0.6630486078338839,0.7275,0.7792386676684198,0.8149917145920655,0.8298439582843252,0.8444688550012923,0.8728386362404467,0.8836447520184545,0.8947431445335888,0.905411088525969,0.9172510518934082,0.9223537312179971,0.9235020519835841,0.9282858444253251,0.9343338698986838,0.9420280096956639,0.9550322112718119,0.9623004896838568,0.9692429490351311,0.9707066232690715,0.9680959576879486,0.9641575060915499
MIN,63709,,0.6219081272084805,0.6556291390728477,0.6979539641943734,0.7341020265548568,0.7577792123950936,0.7777002789956158,0.8005278733104055,0.8106578176849503,0.8268545513443473,0.8414501674662804,0.8535318291075444,0.8634797297297298,0.8822650530404901,0.8950515852705869,0.8980005872774351,0.9050360070768234,0.9117888563049853,0.9171073476582546,0.9263663535439796,0.9379809961622919,0.949017199017199,0.9520633758023168,0.9522863950981505,0.9512526523470946
LAL,64466,,0.5821256038647343,0.6040396341463414,0.6694234404536862,0.706580900544285,0.7411750031183735,0.7660115380854601,0.7889474927182555,0.807489760093622,0.8233426397328516,0.8375245395905394,0.8477241490823834,0.8596964108384167,0.8722479448171596,0.8809153395751421,0.8783984999724259,0.8822838165793844,0.8869590113088706,0.8948210583250699,0.9087250620772327,0.9236914150288073,0.9349347975291695,0.9407926028804627,0.9410452754442049,0.9382014256991409
