SEASON,TEAM,HHI_LATE,HHI_ALL,FUNNEL,N_LATE_FGA,TOP_LATE_SHARE,PPC_LATE,N_LATE_CHANCES,PPC_EARLY,N_EARLY_CHANCES
2015,ATL,0.10503846120378348,0.10729151993217156,-0.002253058728388088,1356,0.1570796460176991,0.7047670639219935,1846,0.7526388888888889,7200
2015,BKN,0.10465449954086317,0.0922032178783722,0.012451281662490973,1584,0.20075757575757575,0.7056918093475243,2161,0.7044377423524343,6963
2015,BOS,0.1018576717338747,0.10930281172482116,-0.007445139990946467,1267,0.1483820047355959,0.6844014510278114,1654,0.7065974420666076,7897
2015,CHA,0.09495367402832001,0.10112471688894759,-0.006171042860627571,1572,0.15394402035623408,0.7118006582040433,2127,0.7287739295630571,6843
2015,CHI,0.09978469819300267,0.09640508306912923,0.0033796151238734418,1530,0.165359477124183,0.6590243902439025,2050,0.7280146334599691,7107
2015,CLE,0.11361790458045816,0.11308037451394433,0.0005375300665138305,1746,0.21305841924398625,0.7396193771626297,2312,0.739058999253174,6695
2015,DAL,0.10579582404555456,0.09610252717837192,0.009693296867182635,1673,0.18111177525403466,0.7248908296943232,2290,0.708095447225882,6831
2015,DEN,0.0849752408963204,0.08857510749055203,-0.0035998665942316294,1626,0.12792127921279212,0.7115928369462771,2122,0.6882659529511199,7099
2015,DET,0.11357049412083267,0.11113785140359739,0.002432642717235284,1594,0.17503136762860727,0.7339015151515151,2112,0.6953234388126576,7142
2015,GSW,0.10081945407238793,0.12568719988381677,-0.024867745811428837,1353,0.16112342941611235,0.7952941176470588,1700,0.7994593898828678,7769
2015,HOU,0.10626519038617337,0.11140881427381309,-0.0051436238876397256,1288,0.2236024844720497,0.7015092230296255,1789,0.7120544653584301,7491
2015,IND,0.1054734976789095,0.10897675931443658,-0.003503261635527083,1517,0.18193803559657218,0.6705940108001963,2037,0.7079160378652765,7289
2015,LAC,0.09643951760911307,0.09696371922361327,-0.0005242016145002026,1551,0.15731785944551901,0.7630445189085687,2089,0.7167406558785622,6983
2015,LAL,0.10955224913494808,0.10736896806669614,0.002183281068251941,1700,0.16941176470588235,0.622107969151671,2334,0.6715025906735751,6755
2015,MEM,0.08850438937958066,0.07865751419839008,0.009846875181190581,1930,0.16321243523316062,0.69826224328594,2532,0.6642244738893219,6415
2015,MIA,0.10264712277310692,0.10325080382484474,-0.0006036810517378172,1793,0.18014500836586725,0.7107742728390004,2441,0.728949858088931,6342
2015,MIL,0.10947258826771734,0.10873608583653498,0.0007365024311823676,1565,0.16677316293929711,0.6796071094480823,2138,0.7097633136094674,6760
2015,MIN,0.11290110602063955,0.1209878064084571,-0.008086700387817558,1470,0.17755102040816326,0.6734006734006734,2079,0.6909975669099757,6987
2015,NOP,0.08631542498607003,0.09026744483895974,-0.003952019852889704,1351,0.154700222057735,0.6858258928571429,1792,0.726729986431479,7370
2015,NYK,0.1079406610552631,0.10464098105474678,0.0032996800005163224,1733,0.19676860934795154,0.6807453416149069,2415,0.7057449789817842,6423
2015,OKC,0.1153524099302686,0.12705411043579676,-0.011701700505528156,1408,0.18678977272727273,0.7277019937040924,1906,0.7410607470424033,7523
2015,ORL,0.09912219439563989,0.09413086841670691,0.004991325978932981,1538,0.17620286085825748,0.7162162162162162,2072,0.733654800737484,7051
2015,PHI,0.09057041513216978,0.085523872896816,0.005046542235353779,1516,0.14116094986807387,0.6533142584644731,2097,0.6806948171162265,7081
2015,PHX,0.08283475065864361,0.08399283251149184,-0.0011580818528482278,1366,0.1171303074670571,0.6414038657171923,1966,0.6825354727489723,7541
2015,POR,0.1210190052151349,0.12849083522080923,-0.007471830005674335,1649,0.21588841722255914,0.751264367816092,2175,0.7209401709401709,7020
2015,SAC,0.1091114870404364,0.10890500355319631,0.00020648348724008891,1323,0.1942554799697657,0.6957007258514796,1791,0.7086543400102722,7788
2015,SAS,0.09339811466942148,0.09711691961358997,-0.0037188049441684856,1760,0.15568181818181817,0.7838874680306905,2346,0.7508569647865379,6418
2015,TOR,0.11365737153190954,0.11728011167900237,-0.003622740147092837,1851,0.2036736898973528,0.7305436057880329,2557,0.6891126494650723,6356
2015,UTA,0.1013440494227046,0.10283599593352664,-0.0014919465108220453,2087,0.15860086248203162,0.7427522935779817,2725,0.6799668874172186,6040
2015,WAS,0.0869552471922497,0.0976708473662557,-0.010715600174005996,1306,0.15313935681470137,0.7086614173228346,1778,0.7359468438538206,7525
2016,ATL,0.09845735326676192,0.10140626775735756,-0.0029489144905956444,1291,0.17118512780790085,0.6464699683877766,1898,0.7113913860190527,7453
2016,BKN,0.08240650746793253,0.08301605352959063,-0.0006095460616580978,1221,0.1678951678951679,0.6821428571428572,1680,0.7168943940748308,7831
2016,BOS,0.10502406451744846,0.11217278313067082,-0.00714871861322236,1532,0.17232375979112272,0.7444444444444445,2070,0.7571794142735285,7034
2016,CHA,0.10623177842565598,0.11322171599782525,-0.006989937572169272,1568,0.16071428571428573,0.7228739002932552,2046,0.7302048525352317,6883
2016,CHI,0.09203544871564528,0.09264871399996757,-0.0006132652843222897,1643,0.16555082166768106,0.703382084095064,2188,0.7152423933614791,6869
2016,CLE,0.10910781249999998,0.11893615370569165,-0.009828341205691662,1600,0.191875,0.8178854215183977,2147,0.7705439814814815,6912
2016,DAL,0.11006482005628904,0.0939626366222471,0.016102183434041933,1874,0.23639274279615796,0.6951850378034222,2513,0.739524348810872,6181
2016,DEN,0.08946777526803389,0.08919100155133061,0.0002767737167032741,1421,0.1330049261083744,0.7959292983395823,1867,0.7625552430695058,7467
2016,DET,0.11260583382340449,0.10524871203233513,0.007357121791069357,1561,0.17937219730941703,0.7192288680177954,2023,0.7480136208853575,7048
2016,GSW,0.10801488168788315,0.12387772617933218,-0.015862844491449035,1277,0.1754111198120595,0.775609756097561,1640,0.8131280177476184,7663
2016,HOU,0.11606010852316637,0.11344277736800058,0.0026173311551657835,1206,0.23880597014925373,0.7054020100502513,1592,0.7844364937388193,7826
2016,IND,0.10082514741612772,0.10841248460830467,-0.0075873371921769545,1516,0.17612137203166228,0.7496450544249882,2113,0.7331699581951853,6937
2016,LAC,0.10211124123900536,0.10280044114669061,-0.0006891999076852479,1628,0.1517199017199017,0.7464028776978417,2224,0.7464850615114236,6828
2016,LAL,0.09082269773268754,0.08890849531562486,0.0019142024170626798,1495,0.1605351170568562,0.6892768079800499,2005,0.7276589912280702,7296
2016,MEM,0.10943790644257602,0.10198525166039646,0.00745265478217956,1967,0.1840366039654296,0.751353441608662,2586,0.6792659974905897,6376
2016,MIA,0.09577149682324552,0.10051597675914258,-0.00474447993589705,1761,0.14366837024417944,0.7315494173500215,2317,0.7514183338309943,6698
2016,MIL,0.09435687128882055,0.09787640825582353,-0.0035195369670029814,1530,0.1784313725490196,0.7604166666666666,2112,0.7488728584310189,6654
2016,MIN,0.1413692441544614,0.14042247744893932,0.000946766705522073,1714,0.24912485414235705,0.7048192771084337,2324,0.728662976988057,6866
2016,NOP,0.10081172646788587,0.09893704468026314,0.001874681787622734,1298,0.22342064714946072,0.6991501416430594,1765,0.7483615510649918,7324
2016,NYK,0.11645028656294071,0.10567465551416902,0.010775631048771689,1618,0.23053152039555005,0.7292616226071102,2194,0.723068165646791,7027
2016,OKC,0.10782237477278697,0.1277594785962137,-0.019937103823426727,1339,0.2150858849887976,0.7371163867979155,1727,0.7017521422176749,7819
2016,ORL,0.09857431512527766,0.0988073664473144,-0.0002330513220367425,1559,0.14239897370109045,0.7000488519785051,2047,0.7242257106491302,7071
2016,PHI,0.08128932619311442,0.07988197609155276,0.0014073501015616635,1331,0.14350112697220135,0.6444091149973503,1887,0.7108979483080202,7506
2016,PHX,0.10439054119430931,0.10296180555762603,0.001428735636683276,1382,0.2040520984081042,0.652734778121775,1938,0.7025660964230172,7716
2016,POR,0.10581237719322752,0.1230722463250459,-0.017259869131818387,1734,0.19377162629757785,0.7132680320569902,2246,0.7547605308713214,6932
2016,SAC,0.08756247683371192,0.07929738715476094,0.008265089678950982,1766,0.19762174405436014,0.7493723849372385,2390,0.7195009242144177,6492
2016,SAS,0.10624405271608,0.10333708882763563,0.002906963888444372,1671,0.19389587073608616,0.765825586542718,2259,0.7392089035945255,6649
2016,TOR,0.1095723053346306,0.10993049800404685,-0.00035819266941625183,1646,0.22539489671931956,0.7341659232827832,2242,0.742802018403087,6738
2016,UTA,0.0905550195963639,0.09424634212445833,-0.003691322528094426,1874,0.14781216648879403,0.7617342879872713,2514,0.7284152113595561,6127
2016,WAS,0.1200152000930701,0.12218697957328414,-0.0021717794802140478,1403,0.1931575196008553,0.7219917012448133,1928,0.7778230184581976,7368
